"behavior","load","metric_name","mono_file","mono_users_total","mono_throughput_per_sec","mono_avg_ms","mono_p95_ms","mono_count","mono_err","micro_file","micro_users_total","micro_throughput_per_sec","micro_avg_ms","micro_p95_ms","micro_count","micro_err"
"Chat_4Node","10","create_room","monolithic_perf_scenario108.log","10","0.008333333333333333","10.922","20","1","0","scaledx_4_scenario_8_users_10.log","10","0.008333333333333333","68.81","100","1","0"
"Chat_4Node","10","enter_room","monolithic_perf_scenario108.log","10","0.08333333333333333","12.662","20","10","0","scaledx_4_scenario_8_users_10.log","10","0.08333333333333333","77.455","100","10","0"
"Chat_4Node","10","login","monolithic_perf_scenario108.log","10","0.08333333333333333","46.105","50","10","0","scaledx_4_scenario_8_users_10.log","10","0.08333333333333333","40.701","50","10","0"
"Chat_4Node","10","send_message","monolithic_perf_scenario108.log","10","2.333","5.166","10","280","0","scaledx_4_scenario_8_users_10.log","10","2.325","22.042","50","279","0"
"Chat_4Node","100","create_room","monolithic_perf_scenario109.log","100","0.008333333333333333","4.978","5","1","0","scaledx_4_scenario_9_users_100.log","100","0.008333333333333333","23.015","50","1","0"
"Chat_4Node","100","enter_room","monolithic_perf_scenario109.log","100","0.8333333333333334","28.201","50","100","0","scaledx_4_scenario_9_users_100.log","100","0.8333333333333334","125.397","200","100","0"
"Chat_4Node","100","login","monolithic_perf_scenario109.log","100","0.8333333333333334","85.948","200","100","0","scaledx_4_scenario_9_users_100.log","100","0.8333333333333334","79.711","100","100","0"
"Chat_4Node","100","send_message","monolithic_perf_scenario109.log","100","23.208","3.988","10","2785","0","scaledx_4_scenario_9_users_100.log","100","23.258","16.557","50","2791","0"
"Chat_4Node","1000","create_room","monolithic_perf_scenario110.log","1000","0.008333333333333333","7.684","10","1","0","scaledx_4_scenario_10_users_1000.log","1000","0.008333333333333333","16.163","20","1","0"
"Chat_4Node","1000","enter_room","monolithic_perf_scenario110.log","1000","8.333333333333334","37.569","50","1000","0","scaledx_4_scenario_10_users_1000.log","1000","8.333333333333334","166.806","500","1000","0"
"Chat_4Node","1000","login","monolithic_perf_scenario110.log","1000","8.333333333333334","272.062","1000","1000","0","scaledx_4_scenario_10_users_1000.log","1000","8.333333333333334","73.99","200","1000","0"
"Chat_4Node","1000","send_message","monolithic_perf_scenario110.log","1000","232.542","3.102","10","27905","0","scaledx_4_scenario_10_users_1000.log","1000","232.317","12.85","50","27878","0"
"Chat_4Node","5000","create_room","monolithic_perf_scenario111.log","5000","0.008333333333333333","4.742","5","1","0","scaledx_4_scenario_11_users_5000.log","5000","0.008333333333333333","26.959","50","1","0"
"Chat_4Node","5000","enter_room","monolithic_perf_scenario111.log","5000","41.666666666666664","28.295","50","5000","0","scaledx_4_scenario_11_users_5000.log","5000","41.666666666666664","121.398","200","5000","0"
"Chat_4Node","5000","login","monolithic_perf_scenario111.log","5000","41.666666666666664","98.714","200","5000","0","scaledx_4_scenario_11_users_5000.log","5000","41.666666666666664","55.8","100","5000","0"
"Chat_4Node","5000","send_message","monolithic_perf_scenario111.log","5000","1163.5","2.216","10","139620","0","scaledx_4_scenario_11_users_5000.log","5000","1153.558","38.631","200","138427","768"
